id;job_board_name;job_board_type;username;password;settings;auto_refresh;job_duration
1;Awesome;XSS COM;internet Account;Personal Unit;Engineer Product withdrawal;Stravenue;Investment
2;leverage;Lev;Senior transmitting Cotton;Motorway;Forward Practical;turquoise parsing;navigate
3;programming Small Central;Gorgeous Sports;Steel Interactions;back;Cambridgeshire turquoise;systems;application exuding
4;pink Forward;Specialist;Metrics;partnerships;open-source Bacon TCP;Jamaica monetize SQL;alarm Montana
5;driver;deposit;Salad override Shoes;hacking;mint open-source;Corporate Nigeria;Legacy Sports
6;Director Wooden Organized;bandwidth Devolved Officer;Account;Awesome Group National;Steel;THX homogeneous;quantify Implementation withdrawal
7;implement driver;Jewelery bluetooth;Internal pink Research;Jewelery fuchsia;FTP generating compressing;deposit Unbranded;payment
8;focus;matrix;Operations;index Salad Steel;withdrawal Cross-group;Ergonomic cross-platform;payment York
9;Burg;Nepalese;Keyboard;Handcrafted panel Tools;well-modulated Refined;Tugrik Niue Integration;Pants
10;Licensed Producer;Metal Quality European;Sausages United navigating;Architect;Dollar;system Virginia;Facilitator Supervisor transmitting
